               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12029,            0.080963,                   0,            0.013333,            0.037825,            0.012035,           0.0022604,             0.12391,            0.044951,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11727,            0.089992,                   0,            0.014667,            0.052009,           0.0082259,           0.0021464,             0.12114,            0.046328,                   0,            0.093694,           0.0006937,           0.0006937
                   2,             0.11169,              0.1127,                   0,            0.018356,            0.078014,            0.012931,            0.003955,             0.11135,            0.051014,                   0,             0.09008,           0.0010802,           0.0010802
                   3,             0.10443,            0.094851,                   0,            0.092489,             0.10402,            0.037072,            0.010036,            0.096842,            0.057001,                   0,             0.08646,           0.0014595,           0.0014595
                   4,            0.097107,             0.13303,                   0,             0.13349,             0.12293,            0.046424,             0.01313,            0.086764,            0.060008,                   0,            0.082832,           0.0018316,           0.0018316
                   5,            0.089337,             0.10293,                   0,             0.16898,             0.20093,            0.085562,             0.02572,            0.077475,            0.064078,                   0,            0.079197,           0.0021965,           0.0021965
                   6,            0.087148,             0.10843,                   0,             0.29413,             0.26714,              0.1623,            0.053493,            0.072364,            0.069433,                   0,            0.075554,           0.0025542,           0.0025542
                   7,            0.080206,             0.10733,                   0,             0.37627,             0.38298,             0.26046,            0.099679,            0.068092,            0.091993,                   0,            0.071905,           0.0029047,           0.0029047
                   8,            0.076809,             0.11157,                   0,             0.33014,             0.56501,             0.36804,             0.11354,            0.066319,            0.097987,                   0,            0.068248,            0.003248,            0.003248
                   9,            0.071739,            0.093929,                   0,              0.4489,             0.64511,             0.53675,             0.24107,            0.059994,            0.072315,                   0,            0.064584,           0.0035841,           0.0035841
                  10,              0.0661,            0.094164,                   0,             0.24334,             0.53664,             0.28048,             0.08005,            0.067032,            0.094008,                   0,            0.060913,            0.003913,            0.003913
                  11,            0.066259,            0.099116,                   0,             0.36403,             0.69504,             0.43915,              0.1867,            0.060255,             0.08754,                   0,            0.057235,           0.0042347,           0.0042347
                  12,            0.065203,            0.092855,                   0,             0.43832,              0.7305,             0.57917,             0.21624,            0.055319,            0.083259,                   0,            0.053549,           0.0045492,           0.0045492
                  13,            0.064028,            0.091214,                   0,             0.55324,             0.76832,             0.68832,             0.27904,            0.051779,            0.076225,                   0,            0.049857,           0.0048565,           0.0048565
                  14,            0.065532,            0.091492,                   0,             0.54855,              0.8043,             0.65755,             0.34923,            0.047844,            0.065632,                   0,            0.046157,           0.0051566,           0.0051566
                  15,            0.059643,            0.077532,                   0,             0.37839,             0.68322,             0.44535,              0.2075,            0.060936,            0.064577,                   0,             0.04245,           0.0054495,           0.0054495
